Sample,Concentration,"""260/280""","""260/230""",RQN,Group
1,63.85,1.95,2.53,9.9,Condition4
2,64.59,1.96,2.48,10,Condition1
3,45.17,1.81,2.63,10,Condition1
4,69.46,1.89,6.72,10,Condition1
5,53.51,1.94,10.63,9.7,Condition1
6,49.65,1.91,8.64,10,Condition1
7,68.57,1.96,2.38,10,Condition1
8,180.76,2.04,2.57,10,Condition1
9,105.22,1.97,2.57,10,Condition1
10,119.8,1.95,2.49,10,Condition1
11,90.67,1.93,2.56,10,Condition1
12,78.82,1.88,2.6,10,Condition1
13,66.69,2.04,3.04,8.9,Condition1
14,70.15,1.94,3.08,9.6,Condition1
15,60.36,2.07,2.77,9,Condition1
16,47.76,1.98,2.4,10,Condition1
17,39.63,1.98,2.36,10,Condition1
18,51.22,1.94,2.32,10,Condition1
19,64.07,2.27,2.07,8.9,Condition1
20,61.86,2.04,2.91,10,Condition1
21,69.19,2.18,2.73,9.2,Condition2
22,65.98,2.05,2.76,10,Condition2
23,80.61,1.95,2.94,10,Condition2
24,64.04,2.03,2.63,9.9,Condition2
25,62.94,1.94,6.2,10,Condition2
26,75.33,1.92,5.64,10,Condition2
27,59.96,1.95,5.83,10,Condition2
28,75.76,1.92,5.25,10,Condition2
29,86.9,1.96,3.99,10,Condition2
30,84.21,1.88,5.33,10,Condition2
31,95.39,1.93,2.96,10,Condition2
32,77.96,1.98,3.07,10,Condition2
33,92.65,1.95,2.91,10,Condition2
34,58.33,1.97,2.8,3.5,Condition2
35,99.27,1.92,3.05,10,Condition2
36,71.34,2.07,3.02,10,Condition2
37,93.57,2.1,2.3,9.3,Condition2
38,40.82,1.83,2.35,10,Condition2
39,36.95,1.96,2.35,10,Condition2
40,74.81,2.03,2.5,10,Condition2
41,82.39,1.93,2.6,8.8,Condition2
42,57.77,1.97,2.46,10,Condition2
43,67.97,1.86,6.28,9.8,Condition2
44,48.12,2.03,4.22,9.1,Condition2
45,53.05,2.1,6.17,9.3,Condition2
46,113.01,2.02,2.61,10,Condition2
47,107.6,2.02,2.49,10,Condition2
48,93.26,2.01,2.5,10,Condition2
49,92.55,2.01,2.54,10,Condition2
50,65.17,2.02,2.46,10,Condition2
51,45.9,1.96,2.27,9.8,Condition2
52,87.51,1.96,2.95,10,Condition2
53,61.26,2.04,2.36,9.5,Condition2
54,61.9,2.02,2.82,9,Condition2
55,97.75,1.95,4.77,10,Condition2
56,70.32,1.84,6.4,10,Condition2
57,115.57,1.87,4.22,10,Condition2
58,97.69,1.91,2.57,10,Condition2
59,89.78,2,2.53,10,Condition2
60,69.65,1.97,2.28,10,Condition2
