custconc,P7Index_1,P7Index_2,P7Index_4,P7Index_5,P7Index_6,P7Index_7,P7Index_8,P7Index_9,P7Index_10,P7Index_11,P5Index_1,P5Index_2,P5Index_3,P5Index_4,P5Index_5,P5Index_6,P5Index_7,iconc,itwosixty_twoeighty,itwosixty_twothirty,iRNA,iSize,iAve,ioutlier,istd,icd5,Conc_FA,RQN,28S_18S,ul_Buffer,filiconc,filitwosixty_twoeighty,fili260_230 ,fliiYield,filiSize,filiAve,filiOutlier,filiStd,filicv5
63.85,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,63.85,1.95,2.53,15.66170713,382,16.76,0,0.41,0.02,28.696,9.9,1.4,2.96,32.3,1.77,2.2,969,382,8.236893759,0,0.364858567,0.04429565
64.59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.59,1.96,2.48,15.4822728,372,16.59,1,0.13,0.01,25.7745,10,2.2,3.27,27.83,1.75,2.18,834.9,372,7.450861854,1,0.000636375,0.0000854
45.17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,45.17,1.81,2.63,22.13858756,389,13.81,0,0.5,0.04,24.2503,10,3,2.93,16.81,1.66,2.24,504.3,389,8.324172393,0,0.196572805,0.023614697
69.46,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,69.46,1.89,6.72,14.39677512,391,10.99,0,0.2,0.02,27.3357,10,2.1,3.61,8.05,3.32,5.65,241.5,391,8.092997802,0,0.23329049,0.028826214
53.51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,53.51,1.94,10.63,18.68809568,377,13.86,0,0.19,0.01,34.6446,9.7,1.7,3.23,17.6,2.36,2.55,528,377,9.047529829,0,0.232790918,0.025729776
49.65,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,49.65,1.91,8.64,20.14098691,388,13,1,0.39,0.03,21.1867,10,2,2.99,26.35,2.1,2.63,790.5,388,9.75784513,0,0.301663072,0.030914927
68.57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,68.57,1.96,2.38,14.58363716,373,13.39,1,0.22,0.02,25.3144,10,2.4,2.64,28.2,1.94,2.32,846,373,9.22428968,0,0.214860534,0.023292908
180.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,180.76,2.04,2.57,5.532197389,381,13.03,1,0.62,0.05,40.3925,10,2.1,2.51,24.11,1.7,2.31,723.3,381,9.709002652,1,0.566755038,0.058374177
105.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,105.22,1.97,2.57,9.503896598,381,13.15,1,0.56,0.04,34.4637,10,2.3,2.39,23.68,1.8,2.43,710.4,381,10.18664616,1,0.074469843,0.007310536
119.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,119.8,1.95,2.49,8.347245409,382,12.79,1,0.27,0.02,29.388,10,2.3,2.54,20.53,1.94,2.34,615.9,382,9.584197281,0,0.154300916,0.016099514
90.67,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90.67,1.93,2.56,11.02900629,387,13.89,1,0.27,0.02,25.9519,10,2.2,2.59,25.44,1.76,2.24,763.2,387,9.413542802,0,0.18339014,0.019481522
78.82,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,78.82,1.88,2.6,12.68713524,370,20.45,0,0.92,0.05,51.8033,10,2,3.31,39.79,1.81,2.4,1193.7,370,7.350940148,0,0.304906045,0.04147851
66.69,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,66.69,2.04,3.04,14.99475184,395,12.73,0,0.2,0.02,40.8932,8.9,1.2,2.97,10.93,1.93,3.24,327.9,395,8.871189001,0,0.126008643,0.014204256
70.15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,70.15,1.94,3.08,14.2551675,400,12.17,0,0.24,0.02,59.61,9.6,1.4,2.7,12.08,1.63,2.44,362.4,400,9.763125513,1,0.138563067,0.014192491
60.36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60.36,2.07,2.77,16.56726309,414,10.52,0,0.23,0.02,34.7703,9,1.4,3.08,13.87,1.93,2.83,416.1,414,8.570406374,0,0.105520512,0.012312195
47.76,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,47.76,1.98,2.4,20.93802345,378,16.3,0,0.06,0,16.9169,10,2.2,2.83,42.08,1.87,2.43,1262.4,378,8.594515857,0,0.07597274,0.008839676
39.63,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,39.63,1.98,2.36,25.23340903,371,15.31,0,0.31,0.02,23.6805,10,2.1,3.04,23.97,1.8,2.45,719.1,371,8.013084403,0,0.238240247,0.029731404
51.22,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,51.22,1.94,2.32,19.52362358,373,17.22,0,0.4,0.02,22.8622,10,2.1,2.78,43.71,1.86,2.37,1311.3,373,8.752352308,0,0.269435808,0.030784388
64.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,64.07,2.27,2.07,15.60792883,395,20.62,0,0.34,0.02,32.3228,8.9,1,3.36,35.31,2.02,-15.8,1059.3,395,7.83753375,0,0.244139315,0.031150018
61.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,61.86,2.04,2.91,16.16553508,386,21.93,0,0.38,0.02,35.3669,10,2.1,3.39,32.24,1.86,2.38,967.2,386,7.766367889,0,0.262431797,0.033790802
69.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,69.19,2.18,2.73,14.45295563,396,12.97,0,0.45,0.04,25.1254,9.2,1.4,3,33.78,1.81,2.33,1013.4,396,8.794789349,0,0.108556189,0.012343239
65.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.98,2.05,2.76,15.15610791,403,12.08,1,0.14,0.01,44.3868,10,1.7,3.11,27.2,1.87,2.63,816,403,8.472774842,0,0.35261803,0.041617774
80.61,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,80.61,1.95,2.94,12.40540876,379,15.32,0,0.16,0.01,43.5211,10,1.7,3.24,31.54,1.74,2.7,946.2,379,8.14611516,0,0.083662426,0.010270224
64.04,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,64.04,2.03,2.63,15.61524047,373,15.6,0,0.47,0.03,26.2713,9.9,1.9,3.16,28.08,1.83,2.7,842.4,373,8.344584325,1,0.138385334,0.01658385
62.94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,62.94,1.94,6.2,15.88814744,385,14.27,0,0.07,0.01,42.0391,10,2.7,2.9,40.03,2.03,2.5,1200.9,385,10.07360294,0,0.110764838,0.010995553
75.33,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,75.33,1.92,5.64,13.27492367,400,16.12,1,0.09,0.01,37.6499,10,1.3,2.91,32.43,2.26,2.45,972.9,400,10.02788591,0,0.256439659,0.025572654
59.96,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,59.96,1.95,5.83,16.67778519,462,11.57,1,0.62,0.05,43.3513,10,1.6,3.42,22.59,2.36,2.96,677.7,462,8.544224221,0,0.228982378,0.026799669
75.76,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,75.76,1.92,5.25,13.19957761,357,15.52,0,0.68,0.04,35.6595,10,1.5,3.19,20.08,2.28,2.59,602.4,357,9.148654488,0,0.372860676,0.040755794
86.9,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,86.9,1.96,3.99,11.50747986,363,17.32,1,1,0.06,41.6674,10,1.4,3.76,17.58,2.23,2.94,527.4,363,7.777546706,0,0.275485245,0.035420584
84.21,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,84.21,1.88,5.33,11.87507422,371,14.77,0,0.44,0.03,39.3348,10,1.4,3.29,19.81,2.31,2.77,594.3,371,8.885811587,0,0.232792461,0.026198222
